Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female
Knowledge of languages,        Wakashan languages; n.i.e.,,0,,0,,0
Knowledge of languages,      Aboriginal languages; n.o.s.,,0,,0,,0
Knowledge of languages,    Non-Aboriginal languages,,192600,,91385,,101215
Knowledge of languages,      Afro-Asiatic languages,,20880,,10545,,10340
Knowledge of languages,        Berber languages,,15,,0,,10
Knowledge of languages,          Kabyle,,0,,0,,0
Knowledge of languages,          Berber languages; n.i.e.,,15,,10,,10
Knowledge of languages,        Cushitic languages,,125,,60,,70
Knowledge of languages,          Bilen,,0,,0,,0
Knowledge of languages,          Oromo,,15,,10,,10
Knowledge of languages,          Somali,,115,,55,,65
Knowledge of languages,          Cushitic languages; n.i.e.,,0,,0,,0
Knowledge of languages,        Semitic languages,,20745,,10480,,10265
Knowledge of languages,          Amharic,,250,,120,,130
Knowledge of languages,          Arabic,,4925,,2530,,2400
Knowledge of languages,          Assyrian Neo-Aramaic,,1870,,895,,975
Knowledge of languages,          Chaldean Neo-Aramaic,,585,,320,,260
Knowledge of languages,          Harari,,0,,0,,0
Knowledge of languages,          Hebrew,,13730,,6925,,6800
Knowledge of languages,          Maltese,,310,,165,,140
Knowledge of languages,          Tigrigna,,130,,60,,70
Knowledge of languages,          Semitic languages; n.i.e.,,130,,50,,85
Knowledge of languages,        Afro-Asiatic languages; n.i.e.,,15,,10,,0
Knowledge of languages,      Austro-Asiatic languages,,6435,,2940,,3495
Knowledge of languages,        Khmer (Cambodian),,520,,265,,255
Knowledge of languages,        Vietnamese,,5935,,2680,,3260
Knowledge of languages,        Austro-Asiatic languages; n.i.e.,,10,,0,,0
Knowledge of languages,      Austronesian languages,,6740,,2395,,4345
Knowledge of languages,        Bikol,,0,,0,,0
Knowledge of languages,        Cebuano,,135,,45,,90
Knowledge of languages,        Fijian,,10,,10,,0
Knowledge of languages,        Hiligaynon,,20,,15,,10
Knowledge of languages,        Ilocano,,490,,200,,290
Knowledge of languages,        Malagasy,,10,,10,,0
Knowledge of languages,        Malay,,225,,85,,140
Knowledge of languages,        Pampangan (Kapampangan; Pampango),,15,,0,,10
Knowledge of languages,        Pangasinan,,15,,10,,0
Knowledge of languages,        Tagalog (Pilipino; Filipino),,6365,,2250,,4115
Knowledge of languages,        Waray-Waray,,20,,10,,0
Knowledge of languages,        Austronesian languages; n.i.e.,,55,,20,,35
Knowledge of languages,      Creole languages,,350,,145,,205
Knowledge of languages,        Haitian Creole,,0,,0,,0
Knowledge of languages,        Creole; n.o.s.,,155,,65,,90
Knowledge of languages,        Creole languages; n.i.e.,,195,,80,,115
Knowledge of languages,      Dravidian languages,,5070,,2405,,2665
Knowledge of languages,        Kannada,,65,,35,,25
Knowledge of languages,        Malayalam,,520,,230,,290
Knowledge of languages,        Tamil,,4370,,2070,,2305
Knowledge of languages,        Telugu,,215,,120,,100
Knowledge of languages,        Dravidian languages; n.i.e.,,10,,0,,10
Knowledge of languages,      Hmong-Mien languages,,0,,0,,0
Knowledge of languages,      Indo-European languages,,134410,,64405,,70005
Knowledge of languages,        Albanian,,1005,,500,,515
Knowledge of languages,        Armenian,,830,,370,,455
Knowledge of languages,        Balto-Slavic languages,,29285,,13900,,15385
Knowledge of languages,          Baltic languages,,305,,130,,170
Knowledge of languages,            Latvian,,130,,45,,90
Knowledge of languages,            Lithuanian,,175,,90,,85
Knowledge of languages,          Slavic languages,,29210,,13875,,15330
Knowledge of languages,            Belarusan,,110,,55,,60
Knowledge of languages,            Bosnian,,80,,30,,45
Knowledge of languages,            Bulgarian,,385,,150,,235
Knowledge of languages,            Croatian,,690,,335,,355
Knowledge of languages,            Czech,,110,,60,,50
Knowledge of languages,            Macedonian,,535,,255,,280
Knowledge of languages,            Polish,,1955,,935,,1015
Knowledge of languages,            Russian,,24540,,11690,,12850
Knowledge of languages,            Serbian,,670,,345,,330
Knowledge of languages,            Serbo-Croatian,,75,,30,,40
Knowledge of languages,            Slovak,,155,,65,,90
Knowledge of languages,            Slovene (Slovenian),,215,,95,,115
Knowledge of languages,            Ukrainian,,2320,,1045,,1275
Knowledge of languages,            Slavic languages; n.i.e.,,30,,20,,15
Knowledge of languages,        Celtic languages,,15,,10,,10
Knowledge of languages,          Scottish Gaelic,,15,,10,,0
Knowledge of languages,          Welsh,,0,,0,,10
Knowledge of languages,          Celtic languages; n.i.e.,,0,,0,,0
Knowledge of languages,        Germanic languages,,3215,,1575,,1635
Knowledge of languages,          Afrikaans,,405,,200,,200
Knowledge of languages,          Danish,,30,,0,,20
Knowledge of languages,          Dutch,,200,,80,,120
Knowledge of languages,          Frisian,,0,,0,,0
Knowledge of languages,          German,,1275,,640,,635
Knowledge of languages,          Icelandic,,0,,0,,0
Knowledge of languages,          Norwegian,,10,,10,,0
Knowledge of languages,          Swedish,,15,,0,,0
Knowledge of languages,          Vlaams (Flemish),,15,,10,,10
Knowledge of languages,          Yiddish,,1365,,675,,690
Knowledge of languages,          Germanic languages; n.i.e.,,0,,0,,0
Knowledge of languages,        Greek,,2415,,1150,,1265
Knowledge of languages,        Indo-Iranian languages,,28430,,14155,,14275
Knowledge of languages,          Indo-Aryan languages,,20010,,9985,,10025
Knowledge of languages,            Bengali,,615,,330,,285
Knowledge of languages,            Gujarati,,3230,,1525,,1700
Knowledge of languages,            Hindi,,6245,,3040,,3205
Knowledge of languages,            Kashmiri,,15,,10,,10
Knowledge of languages,            Konkani,,30,,15,,15
Knowledge of languages,            Marathi,,195,,90,,110
Knowledge of languages,            Nepali,,65,,25,,35
Knowledge of languages,            Oriya (Odia),,25,,10,,15
Knowledge of languages,            Punjabi (Panjabi),,7740,,4020,,3720
Knowledge of languages,            Sindhi,,205,,85,,120
Knowledge of languages,            Sinhala (Sinhalese),,400,,215,,185
Knowledge of languages,            Urdu,,7280,,3650,,3635
Knowledge of languages,          Iranian languages,,8655,,4290,,4365
Knowledge of languages,            Kurdish,,555,,325,,235
Knowledge of languages,            Pashto,,160,,90,,70
Knowledge of languages,            Persian (Farsi),,8045,,3940,,4110
Knowledge of languages,          Indo-Iranian languages; n.i.e.,,115,,55,,60
Knowledge of languages,        Italic (Romance) languages,,71370,,33850,,37520
Knowledge of languages,          Catalan,,20,,10,,10
Knowledge of languages,          Italian,,53485,,25145,,28340
Knowledge of languages,          Portuguese,,5640,,2715,,2925
Knowledge of languages,          Romanian,,2815,,1330,,1485
Knowledge of languages,          Spanish,,11625,,5620,,6005
Knowledge of languages,          Italic (Romance) languages; n.i.e.,,50,,20,,30
Knowledge of languages,      Japanese,,355,,130,,230
Knowledge of languages,      Kartvelian languages,,160,,75,,85
Knowledge of languages,        Georgian,,160,,75,,85
Knowledge of languages,      Korean,,4805,,2335,,2470
Knowledge of languages,      Mongolic languages,,30,,10,,15
Knowledge of languages,        Mongolian,,25,,10,,15
Knowledge of languages,      Niger-Congo languages,,1165,,580,,585
Knowledge of languages,        Akan (Twi),,410,,205,,205
Knowledge of languages,        Bamanankan,,0,,0,,0
Knowledge of languages,        Edo,,0,,10,,0
Knowledge of languages,        Ewe,,25,,10,,15
Knowledge of languages,        Fulah (Pular; Pulaar; Fulfulde),,0,,0,,0
Knowledge of languages,        Ga,,20,,10,,10
Knowledge of languages,        Ganda,,0,,0,,0
Knowledge of languages,        Igbo,,155,,65,,95
Knowledge of languages,        Lingala,,15,,10,,10
Knowledge of languages,        Rundi (Kirundi),,0,,0,,0
Knowledge of languages,        Kinyarwanda (Rwanda),,0,,0,,0
Knowledge of languages,        Shona,,0,,0,,0
Knowledge of languages,        Swahili,,250,,135,,120
Knowledge of languages,        Wolof,,0,,0,,0
Knowledge of languages,        Yoruba,,210,,110,,95
Knowledge of languages,        Niger-Congo languages; n.i.e.,,110,,60,,50
Knowledge of languages,      Nilo-Saharan languages,,10,,10,,10
Knowledge of languages,        Dinka,,0,,0,,0
Knowledge of languages,        Nilo-Saharan languages; n.i.e.,,0,,0,,0
Knowledge of languages,      Sign languages,,175,,75,,100
Knowledge of languages,        American Sign Language,,55,,25,,30
Knowledge of languages,        Quebec Sign Language,,0,,0,,0
Knowledge of languages,        Sign languages; n.i.e.,,115,,50,,65
Knowledge of languages,      Sino-Tibetan languages,,18945,,8890,,10050
Knowledge of languages,        Chinese languages,,18905,,8870,,10035
Knowledge of languages,          Cantonese,,8485,,3860,,4625
Knowledge of languages,          Hakka,,210,,100,,110
Knowledge of languages,          Mandarin,,11285,,5335,,5950
Knowledge of languages,          Min Dong,,10,,0,,10
Knowledge of languages,          Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,755,,310,,445
Knowledge of languages,          Wu (Shanghainese),,200,,100,,100
Knowledge of languages,          Chinese; n.o.s.,,355,,150,,205
Knowledge of languages,          Chinese languages; n.i.e.,,0,,0,,0
Knowledge of languages,        Tibeto-Burman languages,,50,,25,,20
Knowledge of languages,          Burmese,,35,,20,,20
Knowledge of languages,          Karenic languages,,0,,0,,0
Knowledge of languages,          Tibetan,,0,,0,,0
Knowledge of languages,          Tibeto-Burman languages; n.i.e.,,10,,0,,0
Knowledge of languages,      Tai-Kadai languages,,360,,145,,220
Knowledge of languages,        Lao,,270,,105,,160
Knowledge of languages,        Thai,,105,,40,,70
Knowledge of languages,        Tai-Kadai languages; n.i.e.,,10,,0,,10
Knowledge of languages,      Turkic languages,,2265,,1150,,1120
Knowledge of languages,        Azerbaijani,,255,,145,,105
Knowledge of languages,        Turkish,,1930,,955,,970
Knowledge of languages,        Uyghur,,10,,0,,0
Knowledge of languages,        Uzbek,,65,,35,,30
Knowledge of languages,        Turkic languages; n.i.e.,,35,,25,,15
Knowledge of languages,      Uralic languages,,1165,,520,,640
Knowledge of languages,        Estonian,,60,,35,,25
Knowledge of languages,        Finnish,,60,,20,,35
Knowledge of languages,        Hungarian,,1045,,465,,580
Knowledge of languages,        Uralic languages; n.i.e.,,0,,0,,0
Knowledge of languages,      Other languages; n.i.e.,,95,,40,,55
Citizenship,Total - Citizenship for the population in private households - 25% sample data,45,304145,,148420,,155725
Citizenship,  Canadian citizens,46,279835,,137505,,142330
Citizenship,    Canadian citizens aged under 18,,67125,,34380,,32745
Citizenship,    Canadian citizens aged 18 and over,,212710,,103130,,109580
Citizenship,  Not Canadian citizens,47,24310,,10910,,13400
Immigrant status and period of immigration,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,48,304145,,148415,,155725
Immigrant status and period of immigration,  Non-immigrants,49,159300,,79995,,79305
Immigrant status and period of immigration,  Immigrants,50,140960,,66855,,74110
Immigrant status and period of immigration,    Before 1981,,44155,,21095,,23060
Immigrant status and period of immigration,    1981 to 1990,,19485,,9625,,9860
Immigrant status and period of immigration,    1991 to 2000,,33950,,16155,,17795
Immigrant status and period of immigration,    2001 to 2010,,32580,,15145,,17430
Immigrant status and period of immigration,      2001 to 2005,,18815,,8875,,9935
Immigrant status and period of immigration,      2006 to 2010,,13760,,6270,,7495
Immigrant status and period of immigration,    2011 to 2016,51,10790,,4825,,5970
Immigrant status and period of immigration,  Non-permanent residents,52,3885,,1570,,2315
Age at immigration,Total - Age at immigration for the immigrant population in private households - 25% sample data,53,140960,,66850,,74110
Age at immigration,  Under 5 years,,12845,,6220,,6625
Age at immigration,  5 to 14 years,,24355,,11905,,12450
Age at immigration,  15 to 24 years,,35085,,15850,,19240
Age at immigration,  25 to 44 years,,56270,,27365,,28910
Age at immigration,  45 years and over,,12400,,5515,,6885
Immigrants by selected place of birth,Total - Selected places of birth for the immigrant population in private households - 25% sample data,54,140960,,66855,,74110
Immigrants by selected place of birth,  Americas,,14215,,6590,,7625
Immigrants by selected place of birth,    Brazil,,540,,275,,270
Immigrants by selected place of birth,    Colombia,,760,,345,,410
Immigrants by selected place of birth,    El Salvador,,545,,275,,265
Immigrants by selected place of birth,    Guyana,,2100,,965,,1135
Immigrants by selected place of birth,    Haiti,,35,,20,,10
Immigrants by selected place of birth,    Jamaica,,2095,,895,,1200
Immigrants by selected place of birth,    Mexico,,360,,155,,200
Immigrants by selected place of birth,    Peru,,395,,190,,205
Immigrants by selected place of birth,    Trinidad and Tobago,,820,,415,,400
Immigrants by selected place of birth,    United States,55,2085,,895,,1190
Immigrants by selected place of birth,    Other places of birth in Americas,,4495,,2150,,2340
Immigrants by selected place of birth,  Europe,,56390,,26725,,29665
Immigrants by selected place of birth,    Bosnia and Herzegovina,,245,,125,,125
Immigrants by selected place of birth,    Croatia,,370,,165,,205
Immigrants by selected place of birth,    France,,285,,155,,130
Immigrants by selected place of birth,    Germany,,690,,265,,430
Immigrants by selected place of birth,    Greece,,885,,445,,440
Immigrants by selected place of birth,    Hungary,,485,,210,,275
Immigrants by selected place of birth,    Ireland,56,75,,30,,45
Immigrants by selected place of birth,    Italy,,25375,,12200,,13175
Immigrants by selected place of birth,    Netherlands,,125,,50,,75
Immigrants by selected place of birth,    Poland,,1460,,665,,795
Immigrants by selected place of birth,    Portugal,,2900,,1425,,1475
Immigrants by selected place of birth,    Romania,,2270,,1085,,1180
Immigrants by selected place of birth,    Russian Federation,,7265,,3300,,3965
Immigrants by selected place of birth,    Serbia,57,335,,160,,175
Immigrants by selected place of birth,    Ukraine,,5665,,2640,,3030
Immigrants by selected place of birth,    United Kingdom,58,1820,,850,,965
Immigrants by selected place of birth,    Other places of birth in Europe,,6150,,2960,,3190
Immigrants by selected place of birth,  Africa,,5980,,2920,,3055
Immigrants by selected place of birth,    Algeria,,25,,10,,15
Immigrants by selected place of birth,    Egypt,,645,,340,,305
Immigrants by selected place of birth,    Ethiopia,,170,,100,,70
Immigrants by selected place of birth,    Kenya,,330,,140,,185
Immigrants by selected place of birth,    Morocco,,745,,390,,355
Immigrants by selected place of birth,    Nigeria,,525,,210,,315
Immigrants by selected place of birth,    Somalia,,100,,25,,75
Immigrants by selected place of birth,    South Africa; Republic of,,1765,,880,,890
Immigrants by selected place of birth,    Other places of birth in Africa,,1665,,825,,845
Immigrants by selected place of birth,  Asia,,64065,,30485,,33580
Immigrants by selected place of birth,    Afghanistan,,1435,,735,,695
Immigrants by selected place of birth,    Bangladesh,,385,,200,,180
Immigrants by selected place of birth,    China,59,8450,,3825,,4625
Immigrants by selected place of birth,    Hong Kong,60,2240,,1070,,1170
Immigrants by selected place of birth,    India,,8355,,4080,,4275
Immigrants by selected place of birth,    Iran,61,4895,,2375,,2515
Immigrants by selected place of birth,    Iraq,,3005,,1500,,1505
Immigrants by selected place of birth,    Japan,,110,,30,,80
Immigrants by selected place of birth,    Korea; South,62,3580,,1735,,1840
Immigrants by selected place of birth,    Lebanon,,460,,240,,215
Immigrants by selected place of birth,    Pakistan,,4255,,2100,,2155
Immigrants by selected place of birth,    Philippines,,5920,,2310,,3610
Immigrants by selected place of birth,    Sri Lanka,,3150,,1545,,1600
Immigrants by selected place of birth,    Syria,63,310,,130,,175
Immigrants by selected place of birth,    Taiwan,,495,,235,,265
Immigrants by selected place of birth,    Viet Nam,,5145,,2335,,2810
Immigrants by selected place of birth,    Other places of birth in Asia,,11890,,6030,,5855
Immigrants by selected place of birth,  Oceania and other places of birth,64,310,,125,,180
Recent immigrants by selected places of birth,Total - Selected places of birth for the recent immigrant population in private households - 25% sample data,54,10790,,4820,,5965
Recent immigrants by selected places of birth,  Americas,,960,,415,,545
Recent immigrants by selected places of birth,    Brazil,,100,,40,,65
Recent immigrants by selected places of birth,    Colombia,,35,,15,,20
Recent immigrants by selected places of birth,    Cuba,,25,,0,,20
Recent immigrants by selected places of birth,    Haiti,,0,,10,,0
Recent immigrants by selected places of birth,    Jamaica,,85,,45,,35
Recent immigrants by selected places of birth,    Mexico,,55,,30,,25
Recent immigrants by selected places of birth,    United States,55,305,,145,,165
Recent immigrants by selected places of birth,    Venezuela,65,30,,10,,25
Recent immigrants by selected places of birth,    Other places of birth in Americas,,325,,135,,190
Recent immigrants by selected places of birth,  Europe,,1755,,790,,965
Recent immigrants by selected places of birth,    France,,10,,0,,0
Recent immigrants by selected places of birth,    Germany,,25,,20,,10
Recent immigrants by selected places of birth,    Ireland,56,10,,10,,0
Recent immigrants by selected places of birth,    Moldova,66,145,,65,,80
Recent immigrants by selected places of birth,    Romania,,110,,30,,80
Recent immigrants by selected places of birth,    Russian Federation,,425,,160,,265
Recent immigrants by selected places of birth,    Ukraine,,460,,230,,230
Recent immigrants by selected places of birth,    United Kingdom,58,90,,65,,30
Recent immigrants by selected places of birth,    Other places of birth in Europe,,485,,220,,260
Recent immigrants by selected places of birth,  Africa,,380,,190,,190
Recent immigrants by selected places of birth,    Algeria,,10,,0,,0
Recent immigrants by selected places of birth,    Cameroon,,10,,0,,0
Recent immigrants by selected places of birth,    Congo; Democratic Republic of the,,0,,0,,0
Recent immigrants by selected places of birth,    Côte d'Ivoire,,0,,0,,0
Recent immigrants by selected places of birth,    Egypt,,40,,10,,30
Recent immigrants by selected places of birth,    Eritrea,,0,,0,,0
Recent immigrants by selected places of birth,    Ethiopia,,10,,0,,0
Recent immigrants by selected places of birth,    Morocco,,20,,10,,10
Recent immigrants by selected places of birth,    Nigeria,,30,,0,,30
Recent immigrants by selected places of birth,    Somalia,,0,,0,,0
Recent immigrants by selected places of birth,    South Africa; Republic of,,135,,60,,70
Recent immigrants by selected places of birth,    Tunisia,,0,,0,,0
Recent immigrants by selected places of birth,    Other places of birth in Africa,,135,,95,,40
Recent immigrants by selected places of birth,  Asia,,7675,,3425,,4255
Recent immigrants by selected places of birth,    Afghanistan,,90,,55,,35
Recent immigrants by selected places of birth,    Bangladesh,,85,,40,,45
Recent immigrants by selected places of birth,    China,59,1635,,730,,905
Recent immigrants by selected places of birth,    Hong Kong,60,40,,25,,15
Recent immigrants by selected places of birth,    India,,805,,395,,415
Recent immigrants by selected places of birth,    Iran,61,825,,335,,490
Recent immigrants by selected places of birth,    Iraq,,350,,165,,185
Recent immigrants by selected places of birth,    Israel,,510,,270,,240
Recent immigrants by selected places of birth,    Japan,,25,,10,,10
Recent immigrants by selected places of birth,    Korea; South,62,305,,140,,165
Recent immigrants by selected places of birth,    Lebanon,,15,,0,,10
Recent immigrants by selected places of birth,    Nepal,,10,,0,,0
Recent immigrants by selected places of birth,    Pakistan,,875,,415,,460
Recent immigrants by selected places of birth,    Philippines,,950,,285,,665
Recent immigrants by selected places of birth,    Saudi Arabia,,30,,20,,15
Recent immigrants by selected places of birth,    Sri Lanka,,155,,65,,90
Recent immigrants by selected places of birth,    Syria,63,95,,50,,50
Recent immigrants by selected places of birth,    Taiwan,,0,,0,,0
Recent immigrants by selected places of birth,    Turkey,,115,,60,,55
Recent immigrants by selected places of birth,    United Arab Emirates,,65,,30,,35
Recent immigrants by selected places of birth,    Viet Nam,,190,,80,,110
Recent immigrants by selected places of birth,    Other places of birth in Asia,,505,,260,,245
Recent immigrants by selected places of birth,  Oceania and other,64,15,,0,,15
Recent immigrants by selected places of birth,    Australia,,10,,0,,10
Recent immigrants by selected places of birth,    Other places of birth,67,10,,0,,10
Generation status,Total - Generation status for the population in private households - 25% sample data,68,304145,,148415,,155725
Generation status,  First generation,69,146185,,69075,,77105
Generation status,  Second generation,70,107495,,53950,,53545
Generation status,  Third generation or more,71,50470,,25390,,25080
Admission category and applicant type,Total - Admission category and applicant type for the immigrant population in private households who landed between 1980 and 2016 - 25% sample data,72,99150,,46925,,52220
Admission category and applicant type,  Economic immigrants,73,52565,,25835,,26730
Admission category and applicant type,    Principal applicants,74,20195,,13105,,7095
Admission category and applicant type,    Secondary applicants,75,32370,,12735,,19635
Admission category and applicant type,  Immigrants sponsored by family,76,29355,,12025,,17330
Admission category and applicant type,  Refugees,77,16180,,8600,,7580
Admission category and applicant type,  Other immigrants,78,1055,,465,,590
Aboriginal population,Total - Aboriginal identity for the population in private households - 25% sample data,79,304145,,148415,,155725
Aboriginal population,  Aboriginal identity,80,630,,340,,290
Aboriginal population,    Single Aboriginal responses,81,550,,290,,265
Aboriginal population,      First Nations (North American Indian),82,260,,135,,130
Aboriginal population,      Métis,,270,,145,,125
Aboriginal population,      Inuk (Inuit),,20,,15,,10
Aboriginal population,    Multiple Aboriginal responses,83,0,,0,,0
Aboriginal population,    Aboriginal responses not included elsewhere,84,80,,50,,25
Aboriginal population,  Non-Aboriginal identity,,303515,,148075,,155440
Aboriginal population,Total - Population by Registered or Treaty Indian status for the population in private households - 25% sample data,85,304145,,148420,,155725
Aboriginal population,  Registered or Treaty Indian,86,250,,150,,105
Aboriginal population,  Not a Registered or Treaty Indian,,303895,,148270,,155620
Aboriginal population,Total - Aboriginal ancestry for the population in private households - 25% sample data,87,304145,,148420,,155730
Aboriginal population,  Aboriginal ancestry (only),88,80,,50,,35
Aboriginal population,    Single Aboriginal ancestry (only),89,85,,45,,35
Aboriginal population,      First Nations (North American Indian) single ancestry,82,70,,40,,30
Aboriginal population,      Métis single ancestry,,15,,10,,10
Aboriginal population,      Inuit single ancestry,,0,,0,,0
Aboriginal population,    Multiple Aboriginal ancestries (only),90,0,,0,,0
Aboriginal population,      First Nations (North American Indian) and Métis ancestries,,0,,0,,0
Aboriginal population,      First Nations (North American Indian) and Inuit ancestries,,0,,0,,0
Aboriginal population,      Métis and Inuit ancestries,,0,,0,,0
Aboriginal population,      First Nations (North American Indian); Métis and Inuit ancestries,,0,,0,,0
Aboriginal population,  Aboriginal and non-Aboriginal ancestries,91,850,,470,,380
Aboriginal population,    Single Aboriginal and non-Aboriginal ancestries,92,845,,470,,375
Aboriginal population,      First Nations (North American Indian) and non-Aboriginal ancestries,,645,,365,,285
Aboriginal population,      Métis and non-Aboriginal ancestries,,200,,105,,95
Aboriginal population,      Inuit and non-Aboriginal ancestries,,0,,0,,0
Aboriginal population,    Multiple Aboriginal and non-Aboriginal ancestries,93,10,,0,,0
Aboriginal population,      First Nations (North American Indian); Métis and non-Aboriginal ancestries,,10,,0,,0
Aboriginal population,      First Nations (North American Indian); Inuit and non-Aboriginal ancestries,,0,,0,,0
Aboriginal population,      Métis; Inuit and non-Aboriginal ancestries,,0,,0,,0
Aboriginal population,      First Nations (North American Indian); Métis; Inuit and non-Aboriginal ancestries,,0,,0,,0
Aboriginal population,  Non-Aboriginal ancestry (only),94,303215,,147900,,155310
Visible minority population,Total - Visible minority for the population in private households - 25% sample data,95,304145,,148415,,155725
Visible minority population,  Total visible minority population,96,107685,,52100,,55580
Visible minority population,    South Asian,97,30610,,15320,,15290
Visible minority population,    Chinese,,20790,,10085,,10705
Visible minority population,    Black,,8325,,3970,,4360
Visible minority population,    Filipino,,8675,,3520,,5155
Visible minority population,    Latin American,,7360,,3605,,3750
Visible minority population,    Arab,,4280,,2225,,2055
Visible minority population,    Southeast Asian,98,6850,,3200,,3650
Visible minority population,    West Asian,99,8695,,4280,,4415
Visible minority population,    Korean,,5345,,2595,,2755
Visible minority population,    Japanese,,285,,125,,160
Visible minority population,    Visible minority; n.i.e.,100,2325,,1095,,1235
Visible minority population,    Multiple visible minorities,101,4140,,2085,,2050
Visible minority population,  Not a visible minority,102,196465,,96315,,100145
Ethnic origin population,Total - Ethnic origin for the population in private households - 25% sample data,103,304145,,148420,,155725
Ethnic origin population,  North American Aboriginal origins,,930,,515,,415
Ethnic origin population,    First Nations (North American Indian),,715,,405,,315
Ethnic origin population,    Inuit,,0,,0,,0
Ethnic origin population,    Métis,,220,,110,,110
Ethnic origin population,  Other North American origins,,25545,,12820,,12720
Ethnic origin population,    Acadian,,30,,10,,25
Ethnic origin population,    American,,1985,,965,,1015
Ethnic origin population,    Canadian,,24185,,12190,,11995
Ethnic origin population,    New Brunswicker,,0,,0,,0
Ethnic origin population,    Newfoundlander,,55,,25,,25
Ethnic origin population,    Nova Scotian,,0,,10,,10
Ethnic origin population,    Ontarian,,10,,10,,0
Ethnic origin population,    Québécois,,20,,10,,15
Ethnic origin population,    Other North American origins; n.i.e.,104,10,,0,,0
Ethnic origin population,  European origins,,186295,,91165,,95135
Ethnic origin population,    British Isles origins,,20370,,10170,,10205
Ethnic origin population,      Channel Islander,,0,,0,,0
Ethnic origin population,      Cornish,,0,,0,,0
Ethnic origin population,      English,,11580,,5875,,5700
Ethnic origin population,      Irish,,7185,,3425,,3760
Ethnic origin population,      Manx,,0,,0,,0
Ethnic origin population,      Scottish,,6775,,3410,,3365
Ethnic origin population,      Welsh,,585,,315,,275
Ethnic origin population,      British Isles origins; n.i.e.,105,2065,,990,,1075
Ethnic origin population,    French origins,,4595,,2170,,2420
Ethnic origin population,      Alsatian,,0,,0,,0
Ethnic origin population,      Breton,,0,,0,,0
Ethnic origin population,      Corsican,,0,,0,,0
Ethnic origin population,      French,,4595,,2170,,2420
Ethnic origin population,    Western European origins (except French origins),,9715,,4820,,4900
Ethnic origin population,      Austrian,,1565,,775,,795
Ethnic origin population,      Bavarian,,10,,0,,0
Ethnic origin population,      Belgian,,290,,125,,160
Ethnic origin population,      Dutch,,1590,,785,,815
Ethnic origin population,      Flemish,,0,,0,,0
Ethnic origin population,      Frisian,,10,,10,,0
Ethnic origin population,      German,,6630,,3330,,3305
Ethnic origin population,      Luxembourger,,0,,0,,0
Ethnic origin population,      Swiss,,330,,140,,195
Ethnic origin population,      Western European origins; n.i.e.,106,55,,30,,20
Ethnic origin population,    Northern European origins (except British Isles origins),,945,,470,,475
Ethnic origin population,      Danish,,195,,95,,95
Ethnic origin population,      Finnish,,215,,100,,115
Ethnic origin population,      Icelandic,,55,,40,,20
Ethnic origin population,      Norwegian,,215,,90,,125
Ethnic origin population,      Swedish,,270,,155,,115
Ethnic origin population,      Northern European origins; n.i.e.,107,35,,10,,25
Ethnic origin population,    Eastern European origins,,52100,,25025,,27080
Ethnic origin population,      Bulgarian,,725,,330,,395
Ethnic origin population,      Byelorussian,,1180,,550,,630
Ethnic origin population,      Czech,,675,,335,,335
Ethnic origin population,      Czechoslovakian; n.o.s.,108,390,,195,,190
Ethnic origin population,      Estonian,,225,,105,,120
Ethnic origin population,      Hungarian,,3495,,1785,,1715
Ethnic origin population,      Latvian,,855,,425,,430
Ethnic origin population,      Lithuanian,,2100,,1090,,1010
Ethnic origin population,      Moldovan,,715,,350,,360
Ethnic origin population,      Polish,,18265,,8800,,9470
Ethnic origin population,      Romanian,,5535,,2725,,2805
Ethnic origin population,      Russian,,25635,,12245,,13395
Ethnic origin population,      Slovak,,495,,205,,290
Ethnic origin population,      Ukrainian,,9570,,4640,,4930
Ethnic origin population,      Eastern European origins; n.i.e.,109,1075,,500,,575
Ethnic origin population,    Southern European origins,,114055,,55950,,58110
Ethnic origin population,      Albanian,,1190,,600,,595
Ethnic origin population,      Bosnian,,125,,35,,90
Ethnic origin population,      Catalan,,0,,0,,0
Ethnic origin population,      Croatian,,1500,,740,,760
Ethnic origin population,      Cypriot,,185,,90,,95
Ethnic origin population,      Greek,,5065,,2510,,2555
Ethnic origin population,      Italian,,94725,,46535,,48190
Ethnic origin population,      Kosovar,,0,,0,,0
Ethnic origin population,      Macedonian,,1010,,480,,530
Ethnic origin population,      Maltese,,1230,,630,,595
Ethnic origin population,      Montenegrin,,20,,10,,10
Ethnic origin population,      Portuguese,,9145,,4450,,4695
Ethnic origin population,      Serbian,,865,,430,,440
Ethnic origin population,      Sicilian,,120,,50,,70
Ethnic origin population,      Slovenian,,650,,295,,350
Ethnic origin population,      Spanish,,5410,,2650,,2765
Ethnic origin population,      Yugoslavian; n.o.s.,110,220,,110,,110
Ethnic origin population,      Southern European origins; n.i.e.,111,25,,10,,10
Ethnic origin population,    Other European origins,,14590,,7255,,7330
Ethnic origin population,      Basque,,15,,0,,15
Ethnic origin population,      Jewish,,13655,,6815,,6835
Ethnic origin population,      Roma (Gypsy),,20,,15,,10
Ethnic origin population,      Slavic; n.o.s.,112,20,,10,,10
Ethnic origin population,      Other European origins; n.i.e.,113,920,,440,,475
Ethnic origin population,  Caribbean origins,,7145,,3415,,3725
